[Latitude],[Longitude],[Value]
0.16667,108.50019,0
0.16667,108.66686,0
0.16667,108.83353,0
0.16667,109.0002,0
0.16667,120.16709,0
0.16667,120.33376,0
0.16667,120.50043,0
0.16667,120.6671,0
0.16667,120.83377,0
0.16667,121.00044,0
0.16667,121.16711,0
0.16667,121.33378,0
0.16667,121.50045,0
0.33334,108.50019,0
0.33334,108.66686,0
0.33334,108.83353,0
0.33334,120.33376,0
0.33334,120.50043,0
0.33334,120.6671,0
0.33334,120.83377,0
0.33334,121.00044,0
0.33334,121.16711,0
0.33334,121.33378,0
0.33334,121.50045,0
0.50001,121.66712,0
0.66668,103.00008,0
1.33336,102.16673,0
1.50003,111.00024,0
1.6667,110.50023,0
2.33338,100.50003,0
2.83339,100.00002,0
3.66674,100.00002,0
3.83341,100.00002,0
4.00008,100.00002,0
4.00008,100.6667,0
4.16675,100.6667,0
4.33342,117.66704,0
5.33344,100.33336,0
6.00012,100.33336,0
6.50013,100.00002,0
8.00016,123.66716,0
9.83353,105.50013,0
9.83353,106.00014,0
10.0002,104.0001,0
10.0002,104.16677,0
10.0002,104.33344,0
10.0002,104.50011,0
10.0002,104.66678,0
10.0002,104.83345,0
10.0002,106.33348,0
10.1668,104.16677,0
10.1668,104.33344,0
10.1668,104.50011,0
10.1668,105.83347,0
10.1668,106.00014,0
10.3335,104.16677,0
10.3335,104.33344,0
10.3335,104.50011,0
10.5002,103.83343,0
10.5002,104.0001,0
10.5002,104.16677,0
22.3337,113.16695,0
22.5004,113.00028,0
22.6671,113.33362,0
22.6671,113.50029,0
29.5005,121.50045,0
0.33352,99.50001,0.000001
0.16667,99.16667,0.000002
0.33352,99.33334,0.000002
0.3334,99.50001,0.000003
0.16667,99.33334,0.000004
0.83347,99.66668,0.000004
0.33352,99.66668,0.000004
0.50019,99.50001,0.000004
0.50019,99.66668,0.000005
0.50007,99.66668,0.000006
0.66674,99.50001,0.000006
0.66674,99.66668,0.000006
0.66674,99.83335,0.000006
0.83341,99.66668,0.000006
0.83341,99.83335,0.000006
0.00014,99.66668,0.000006
0.00008,99.83335,0.000007
0.50007,99.83335,0.000008
0.83341,99.50001,0.000008
0.00008,99.66668,0.000008
0.16675,99.83335,0.000009
0.16667,121.66712,0.00001
0.16667,121.83379,0.00001
0.33334,121.66712,0.00001
0.50001,120.6671,0.00001
0.83335,103.16675,0.00001
1.16669,102.50007,0.00001
2.00004,101.33338,0.00001
3.3334,101.16671,0.00001
0.50007,99.33334,0.00001
3.50007,100.00002,0.00001
0.66674,99.33334,0.00001
3.66674,100.16669,0.00001
3.66674,100.33336,0.00001
3.83341,100.16669,0.00001
3.83341,100.33336,0.00001
3.83341,100.50003,0.00001
0.00008,99.50001,0.00001
4.00008,100.16669,0.00001
4.00008,100.33336,0.00001
4.00008,100.50003,0.00001
0.16675,99.66668,0.00001
4.16675,100.00002,0.00001
4.16675,100.16669,0.00001
4.16675,100.33336,0.00001
4.16675,100.50003,0.00001
4.33342,100.00002,0.00001
4.33342,100.16669,0.00001
4.33342,100.33336,0.00001
4.50009,100.00002,0.00001
4.50009,100.16669,0.00001
4.50009,100.33336,0.00001
4.66676,100.00002,0.00001
4.66676,100.16669,0.00001
4.66676,100.33336,0.00001
5.16677,100.33336,0.00001
0.16679,99.83335,0.00001
9.66686,105.16679,0.00001
9.83353,104.66678,0.00001
0.0002,99.16667,0.00001
0.83341,99.33334,0.000012
0.33342,99.83335,0.000012
